user_id,address,age,aweme_count,total_favorited,favoriting_count
MS4wLjABAAAAplpKC_p2aKZB114VMNKN4f47wAQKjQVq87SMAMzW1njKyhmWRzAor-9dtbSm-APU,未知,未知,未知,未知,未知
MS4wLjABAAAAKfmCpyJLMsbwJ3IS5ftumxHNxP5r-wtwDV7afEskHUQ,未知,未知,未知,未知,未知
MS4wLjABAAAAZ0ooGJsI8KrdkwBFbX2JYLOuBycLrCC668Ydxns9hZpiJNex3vJ8OrJEAxua49mu,未知,未知,未知,未知,未知
MS4wLjABAAAACfTm8VE6Ia7Tzbhh-ehC8Lab6BmAD0lhLozEFQE5sNfbL5rOux0Vl0LtBzDzgnMr,未知,未知,未知,未知,未知
MS4wLjABAAAAng5Y-N9ItWPaVK3bsCV52blVSbhUNJ17Mu4TXirBE37mIodUsmeULp1mXSyHI8MO,未知,未知,未知,未知,未知
MS4wLjABAAAAng5Y-N9ItWPaVK3bsCV52blVSbhUNJ17Mu4TXirBE37mIodUsmeULp1mXSyHI8MO,未知,未知,未知,未知,未知
MS4wLjABAAAApMehDHnzQos9KHl-jFMnsZ-75jl4rydkFd6WXCQ105o,未知,未知,未知,未知,未知
MS4wLjABAAAAqvgOndQhBFIg6zXvISVyKeIaAscvtbqKZYmWKhcbHmM,未知,未知,未知,未知,未知
MS4wLjABAAAAf9AH3xb8dg6owfjyF4UBsHtuEpsNPxEsE2_xeNWoams,未知,未知,未知,未知,未知
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAAOCLpbyt9s82x7vFE_VU42_p-r5XGkG8yB27-i8go74ZZmQScV4owyP6uHuCylYiU,未知,未知,未知,未知,未知
MS4wLjABAAAAGC991b-Kl7aJa_H14NbQINuLVRxMC2tEyYXgz8ZsuKs,未知,未知,未知,未知,未知
MS4wLjABAAAAWhF8vhhYbbm5EZGg_nu4lE6GwdltzMaKhXkA4OCvk9s,未知,未知,未知,未知,未知
MS4wLjABAAAAZ0ooGJsI8KrdkwBFbX2JYLOuBycLrCC668Ydxns9hZpiJNex3vJ8OrJEAxua49mu,未知,未知,未知,未知,未知
MS4wLjABAAAA2fvbUNtgKouEcEXBnh4B2xBG9_QUReLTdlIB77efuRuRYRTJbzcctb1ptwbF3LWv,未知,未知,未知,未知,未知
